horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,never_retrain,year,2020,1796,366,0.6038146336152617,0.7705940686670728,0.6811382104021002
1,never_retrain,year,2021,1796,365,0.6201070676009386,0.7705175731756351,0.7062456064577294
1,never_retrain,year,2022,1796,365,0.6350308267520354,0.8090472800900649,0.5268178319794435
1,never_retrain,year,2023,1796,365,0.5697986506997994,0.7149100455406693,0.6762852812420984
1,never_retrain,year,2024,1796,366,0.6309523273005021,0.8137059336368048,0.7389105847595419
1,never_retrain,year,2025,1796,319,0.6378564516347942,0.8028035767762607,0.648638295094129
1,yearly_expanding,year,2020,1796,366,0.6038146336152619,0.7705940686670731,0.6811382104020998
1,yearly_expanding,year,2021,2162,365,0.61428479275206,0.7661562226320611,0.709561663210174
1,yearly_expanding,year,2022,2527,365,0.626350881148722,0.8014215317671605,0.5356958363001102
1,yearly_expanding,year,2023,2892,365,0.5514009330769398,0.7002815489089342,0.6893974516199073
1,yearly_expanding,year,2024,3257,366,0.6210891431967124,0.8031322088858284,0.745651965354591
1,yearly_expanding,year,2025,3623,319,0.6238641618586852,0.7959727520978302,0.6545921284738556
1,monthly_expanding,month,2016-01,335,31,0.45898624367327207,0.6568456788776962,0.09931823810281537
1,monthly_expanding,month,2016-02,366,29,0.4980155538860695,0.7832341207168759,0.48448586753715017
1,monthly_expanding,month,2016-03,395,31,0.32959465676724614,0.4165318651622114,0.30120560895898696
1,monthly_expanding,month,2016-04,426,30,0.8855053312885394,1.028280700364577,-0.41560317575276473
1,monthly_expanding,month,2016-05,456,31,0.9922879319824538,1.1179538481498112,0.4976797758584707
1,monthly_expanding,month,2016-06,487,30,0.7572964973466229,0.9449620723148922,0.5025668408203158
1,monthly_expanding,month,2016-07,517,31,0.5379935416108962,0.6537770631178668,0.18704252310311165
1,monthly_expanding,month,2016-08,548,31,0.47901996715038975,0.5738660821899599,0.28976949875040425
1,monthly_expanding,month,2016-09,579,30,0.6451788764789477,0.7798444845356054,0.30235841993659707
1,monthly_expanding,month,2016-10,609,31,0.6985521523707399,0.8905068436386465,-0.46327830926102465
1,monthly_expanding,month,2016-11,640,30,0.6808354417915699,0.852529808917381,0.4886281875735362
1,monthly_expanding,month,2016-12,670,31,0.6073654965699866,0.8095891874031534,0.31018212581529436
1,monthly_expanding,month,2017-01,701,31,0.5898857965344944,0.8071150237862724,-0.05027800862040088
1,monthly_expanding,month,2017-02,732,28,0.5617871574790121,0.6967934387684044,0.23576827114602528
1,monthly_expanding,month,2017-03,760,31,0.5523036625070081,0.7657368121891729,0.25289026572417517
1,monthly_expanding,month,2017-04,791,30,0.6968941152532018,0.8416148206277297,0.4095183811872719
1,monthly_expanding,month,2017-05,821,31,0.6922895609862504,0.8493470580484603,0.04159012575003895
1,monthly_expanding,month,2017-06,852,30,0.7398656832234483,0.8794937862268117,0.2189930129123857
1,monthly_expanding,month,2017-07,882,31,0.569774753150253,0.7743486643410821,0.45551276985532274
1,monthly_expanding,month,2017-08,913,31,0.6597604277629693,0.8131027866999468,-0.12999650021589582
1,monthly_expanding,month,2017-09,944,30,0.7562590686536356,0.8758191510863466,0.32632687959263795
1,monthly_expanding,month,2017-10,974,31,0.6249481268799199,0.7960201608895933,0.2581191267330303
1,monthly_expanding,month,2017-11,1005,30,0.7627137747963836,1.0644171655052972,0.0981342319393459
1,monthly_expanding,month,2017-12,1035,31,0.8565717309436847,1.23481856651921,0.33058439544987284
1,monthly_expanding,month,2018-01,1066,31,0.418116900249054,0.5571365877090475,0.41595424003038295
1,monthly_expanding,month,2018-02,1097,28,0.5288328062244382,0.6546497633428061,0.7897331023414269
1,monthly_expanding,month,2018-03,1125,31,0.406866617473686,0.4904436238359517,0.09237441030686255
1,monthly_expanding,month,2018-04,1156,30,0.3804189567761487,0.5192597603409169,0.5150139322919983
1,monthly_expanding,month,2018-05,1186,31,0.6165478772638983,0.7832478246248383,0.2667634125875089
1,monthly_expanding,month,2018-06,1217,30,0.6572929579555121,0.8962056882998979,0.22608649290503136
1,monthly_expanding,month,2018-07,1247,31,0.5166907753095573,0.634864573146013,0.2793250507709024
1,monthly_expanding,month,2018-08,1278,31,0.5675005552279043,0.7223589956595011,0.43593675997254755
1,monthly_expanding,month,2018-09,1309,30,0.6795382229817091,0.9574275509386255,-0.0641738326561776
1,monthly_expanding,month,2018-10,1339,31,0.5967633273355495,0.7410667612860954,0.41695361492694993
1,monthly_expanding,month,2018-11,1370,30,0.8903486646637682,1.1191045984523116,0.2472782935881247
1,monthly_expanding,month,2018-12,1400,31,0.38545348607932955,0.4921118690054412,0.6590546410152307
1,monthly_expanding,month,2019-01,1431,31,0.49429054795063665,0.6825324930603626,0.5153798193033521
1,monthly_expanding,month,2019-02,1462,28,0.2950417616588204,0.38562529164888154,0.07316811671453038
1,monthly_expanding,month,2019-03,1490,31,0.35126801899913,0.41519756397619906,0.7654056395485133
1,monthly_expanding,month,2019-04,1521,30,0.6011586383332651,0.9211798602757872,-0.09910786713671538
1,monthly_expanding,month,2019-05,1551,31,0.927388728667642,1.075863805440262,0.18353095783114703
1,monthly_expanding,month,2019-06,1582,30,0.5422309119758354,0.679409617329477,-0.06566202880106653
1,monthly_expanding,month,2019-07,1612,31,0.6846950055661902,0.8755256948863255,0.4155519763631631
1,monthly_expanding,month,2019-08,1643,31,0.6399105518793402,0.8023418179755897,0.3923165597124362
1,monthly_expanding,month,2019-09,1674,30,0.6920985625222698,0.8339989783389343,0.2654664574728396
1,monthly_expanding,month,2019-10,1704,31,0.5876349624931313,0.6940340425471136,0.09100305282787768
1,monthly_expanding,month,2019-11,1735,30,0.5681589641371712,0.7831568028170353,0.49216059466885553
1,monthly_expanding,month,2019-12,1765,31,0.474842481440337,0.5945051165529011,0.7461909726376209
1,monthly_expanding,month,2020-01,1796,31,0.46813497222254946,0.5753214929870528,0.32791154855174476
1,monthly_expanding,month,2020-02,1827,29,0.46165501776109386,0.5733792788068436,0.40179499440932054
1,monthly_expanding,month,2020-03,1856,31,0.32980350863768243,0.40371117037981785,0.23305071278545564
1,monthly_expanding,month,2020-04,1887,30,0.6172470251095575,0.7638830556858869,0.28299165735403997
1,monthly_expanding,month,2020-05,1917,31,0.7692854638516063,0.9014433797184705,0.3482106999986926
1,monthly_expanding,month,2020-06,1948,30,0.9440603158431929,1.1506811855536647,0.008115071700361853
1,monthly_expanding,month,2020-07,1978,31,0.8369217168705149,1.0237070368091694,-0.41427472183867287
1,monthly_expanding,month,2020-08,2009,31,0.7605912606430437,0.9253348434948703,0.511846518678464
1,monthly_expanding,month,2020-09,2040,30,0.5570366231882671,0.7126505526209279,0.40003448298769817
1,monthly_expanding,month,2020-10,2070,31,0.6055750375542288,0.768188163118552,0.2092659515725589
1,monthly_expanding,month,2020-11,2101,30,0.4600488289909368,0.5844733226418674,0.40536871732937163
1,monthly_expanding,month,2020-12,2131,31,0.4049882250438579,0.5033615118454533,0.6489659305192117
1,monthly_expanding,month,2021-01,2162,31,0.5771676032962517,0.754046521302663,0.587439750994088
1,monthly_expanding,month,2021-02,2193,28,0.5339087746081184,0.6604664687060231,0.5140138555265048
1,monthly_expanding,month,2021-03,2221,31,0.3814294585227655,0.44761613069404965,0.6168540760145073
1,monthly_expanding,month,2021-04,2252,30,0.6341558412724109,0.7656318812069247,0.17235667707014224
1,monthly_expanding,month,2021-05,2282,31,0.7663893677259789,0.9341163445469326,0.6459214502377781
1,monthly_expanding,month,2021-06,2313,30,0.6802845361744665,0.8183318181964114,0.39302663933554216
1,monthly_expanding,month,2021-07,2343,31,0.8272216767711442,0.9852762727128567,0.21734481320016008
1,monthly_expanding,month,2021-08,2374,31,0.5758787077419897,0.7207349594748291,0.42771983787845325
1,monthly_expanding,month,2021-09,2405,30,0.42663611619612735,0.540897754564565,0.1335241607039075
1,monthly_expanding,month,2021-10,2435,31,0.7523200199503562,0.915642084214597,-0.24930659578838
1,monthly_expanding,month,2021-11,2466,30,0.6945901105005982,0.8349847865499096,0.28042151535783033
1,monthly_expanding,month,2021-12,2496,31,0.5757413867892308,0.705759551763631,0.39730706900571233
1,monthly_expanding,month,2022-01,2527,31,0.33927740993984895,0.43456187780915295,0.3516750905799456
1,monthly_expanding,month,2022-02,2558,28,0.40987180740736967,0.530512015143202,0.3775879083871816
1,monthly_expanding,month,2022-03,2586,31,0.634273124156606,0.7899329605947432,-0.01602560661953789
1,monthly_expanding,month,2022-04,2617,30,0.661087736182113,0.9561052550169858,0.38805485346762514
1,monthly_expanding,month,2022-05,2647,31,0.8093866936510766,0.984116890022561,0.288792106956995
1,monthly_expanding,month,2022-06,2678,30,0.7970592935248239,0.9535638075020819,0.3138975640698204
1,monthly_expanding,month,2022-07,2708,31,0.7041057753029528,0.8234088533750313,0.376497553719096
