horizon,policy,year,n_train,n_test,mae,rmse,r2
1,never_retrain,2020,1796,366,0.6038146336152616,0.7705940686670727,0.6811382104021002
1,never_retrain,2021,1796,365,0.6201070676009379,0.7705175731756344,0.7062456064577298
1,never_retrain,2022,1796,365,0.6350308267520353,0.8090472800900645,0.5268178319794439
1,never_retrain,2023,1796,365,0.5697986506997998,0.7149100455406694,0.6762852812420983
1,never_retrain,2024,1796,366,0.6309523273005029,0.8137059336368049,0.7389105847595417
1,never_retrain,2025,1796,319,0.6378564516347937,0.8028035767762601,0.6486382950941295
1,yearly_retrain,2020,1796,366,0.6038146336152614,0.7705940686670726,0.6811382104021003
1,yearly_retrain,2021,2162,365,0.6142847927520599,0.766156222632061,0.709561663210174
1,yearly_retrain,2022,2527,365,0.6263508811487216,0.8014215317671604,0.5356958363001103
1,yearly_retrain,2023,2892,365,0.5514009330769398,0.7002815489089346,0.6893974516199071
1,yearly_retrain,2024,3257,366,0.6210891431967126,0.8031322088858287,0.7456519653545908
1,yearly_retrain,2025,3623,319,0.6238641618586858,0.7959727520978307,0.6545921284738554
2,never_retrain,2020,1796,366,0.7357237385220647,0.912350453795793,0.5577302716654382
2,never_retrain,2021,1796,365,0.767992262807518,0.946928387142621,0.5531144809835287
2,never_retrain,2022,1796,365,0.808340908296124,1.0112393697062307,0.26371606924393143
2,never_retrain,2023,1796,365,0.7160608561548006,0.898310385008616,0.48538448588417094
2,never_retrain,2024,1796,366,0.7656118840074134,0.9700978366527101,0.629816602832107
2,never_retrain,2025,1796,318,0.7937593104089122,0.9774813900056132,0.47998161217194013
2,yearly_retrain,2020,1796,366,0.7357237385220646,0.9123504537957927,0.5577302716654385
2,yearly_retrain,2021,2162,365,0.7572992482728188,0.9386776664641421,0.5608681071520236
2,yearly_retrain,2022,2527,365,0.7912232208591965,1.0048799913324364,0.27294748454814555
2,yearly_retrain,2023,2892,365,0.7116008935123935,0.8906440429399937,0.49413064763159886
2,yearly_retrain,2024,3257,366,0.7600603324603331,0.9663322034178622,0.63268491023658
2,yearly_retrain,2025,3623,318,0.7750594342809694,0.9609800463464326,0.4973907867238566
3,never_retrain,2020,1796,366,0.7676344876798809,0.9486829563464885,0.5235744926204946
3,never_retrain,2021,1796,365,0.8601921906027326,1.0764960284097356,0.4215502152452939
3,never_retrain,2022,1796,365,0.8381156031101945,1.0483535397253223,0.2079008443163033
3,never_retrain,2023,1796,365,0.7511981252028257,0.930018130136279,0.44808951988302803
3,never_retrain,2024,1796,366,0.8068162556960773,1.015564526927144,0.5943507004470725
3,never_retrain,2025,1796,317,0.8186514198130418,1.004551621011444,0.4525015425511939
3,yearly_retrain,2020,1796,366,0.7676344876798809,0.9486829563464885,0.5235744926204946
3,yearly_retrain,2021,2162,365,0.840426524784853,1.0564092980702882,0.44293582453557945
3,yearly_retrain,2022,2527,365,0.8323679696213587,1.0392795729229585,0.22155344478962058
3,yearly_retrain,2023,2892,365,0.7733579110068395,0.9675552683234756,0.4026382989844983
3,yearly_retrain,2024,3257,366,0.8428866446511392,1.06111889221612,0.5571427301227829
3,yearly_retrain,2025,3623,317,0.7783937807254552,0.9782685894785926,0.4807761884924039
4,never_retrain,2020,1796,366,0.7934645710241761,0.969876545658851,0.501942256988897
4,never_retrain,2021,1796,365,0.8785132218729019,1.1057512722703395,0.3901857971396504
4,never_retrain,2022,1796,365,0.8608359726257264,1.0743769090585922,0.1673323936684833
4,never_retrain,2023,1796,365,0.7888303706029335,0.9741426211515739,0.39347336129924415
4,never_retrain,2024,1796,366,0.8375476276297503,1.0414127317858686,0.5740904222611027
4,never_retrain,2025,1796,316,0.8126286404316765,1.0068375731265782,0.45110552224041245
4,yearly_retrain,2020,1796,366,0.7934645710241761,0.9698765456588506,0.5019422569888975
4,yearly_retrain,2021,2162,365,0.8594305911078848,1.086392925610992,0.41135088232095596
4,yearly_retrain,2022,2527,365,0.8715004743141685,1.0748656910440857,0.16657458604610098
4,yearly_retrain,2023,2892,365,0.8026814969701233,1.0029493167886343,0.3570713735959944
4,yearly_retrain,2024,3257,366,0.8774367668333817,1.0854019090169593,0.5373497480857143
4,yearly_retrain,2025,3623,316,0.7946364163894049,1.0039926920787172,0.45420300971221483
5,never_retrain,2020,1796,366,0.8006358536882856,0.9793809895337258,0.49142735378981406
5,never_retrain,2021,1796,365,0.8717631344129451,1.0981271374862553,0.3983843202415942
5,never_retrain,2022,1796,365,0.8560792889378546,1.063796586255622,0.19252868995798933
5,never_retrain,2023,1796,365,0.8207624371452193,1.025229265763428,0.3193948004611997
5,never_retrain,2024,1796,366,0.8557201237659747,1.068634286519074,0.5519765158361731
5,never_retrain,2025,1796,315,0.8067519724036206,0.9971158532328929,0.4623881874424368
5,yearly_retrain,2020,1796,366,0.8006358536882858,0.9793809895337259,0.49142735378981384
5,yearly_retrain,2021,2162,365,0.8552393356510217,1.087260352366382,0.41023227617721836
5,yearly_retrain,2022,2527,365,0.8521463720959345,1.0668658881381432,0.18786248104707692
5,yearly_retrain,2023,2892,365,0.8459005272412039,1.0585676590469588,0.2744112913573906
5,yearly_retrain,2024,3257,366,0.8810002268237449,1.081678957402076,0.5409718356213451
5,yearly_retrain,2025,3623,315,0.8013814079868292,1.0131150969808065,0.44499725090155495
